sampleID	group	treatment	day	cage	mouse	exp	colonization	type	weight	log_colonization	toxin
d1_901_1	ABX	control	1	901	1	1	100	stool	103.4	2	NA
d1_901_2	ABX	control	1	901	2	1	100	stool	98.5	2	NA
d1_901_3	ABX	control	1	901	3	1	100	stool	103.5	2	NA
d1_901_4	ABX	control	1	901	3	1	NA	NA	98.6	NA	NA
d1_904_1	630g	630_only	1	904	1	1	150000000	stool	103.3	8.176091259	NA
d1_904_2	630g	630_only	1	904	2	1	130000000	stool	102.8	8.113943352	NA
d1_904_3	630g	630_only	1	904	3	1	80000000	stool	98.7	7.903089987	NA
d1_904_4	630g	630_only	1	904	3	1	NA	NA	100	NA	NA
d1_904_5	630g	630_only	1	904	3	1	NA	NA	100.6	NA	NA
d1_905_1	630g	630_only	1	905	1	1	3700000	stool	100	6.568201724	NA
d1_905_2	630g	630_only	1	905	2	1	120000000	stool	101.8	8.079181246	NA
d1_905_3	630g	630_only	1	905	3	1	110000000	stool	102.5	8.041392685	NA
d1_905_4	630g	630_only	1	905	3	1	NA	NA	100.6	NA	NA
d1_905_5	630g	630_only	1	905	3	1	NA	NA	101.3	NA	NA
d1_906_1	630g_vanco	630_vanco	1	906	1	1	240000000	stool	102.5	8.380211242	NA
d1_906_2	630g_vanco	630_vanco	1	906	2	1	130000000	stool	103.1	8.113943352	NA
d1_906_3	630g_vanco	630_vanco	1	906	3	1	200000000	stool	101.3	8.301029996	NA
d1_906_4	630g_vanco	630_vanco	1	906	3	1	NA	NA	101.9	NA	NA
d1_906_5	630g_vanco	630_vanco	1	906	3	1	NA	NA	100.6	NA	NA
d1_907_1	630g_vanco	630_vanco	1	907	1	1	110000000	stool	98	8.041392685	NA
d1_907_2	630g_vanco	630_vanco	1	907	2	1	17500000	stool	100.6	7.243038049	NA
d1_907_3	630g_vanco	630_vanco	1	907	3	1	17500000	stool	101.4	7.243038049	NA
d1_907_4	630g_vanco	630_vanco	1	907	3	1	NA	NA	102	NA	NA
