Day	901_1	901_2	901_3	901_4	904_1	904_2	904_3	904_4	904_5	905_1	905_2	905_3	905_4	905_5	906_1	906_2	906_3	906_4	906_5	907_1	907_2	907_3	907_4	907_5	908_1	908_2	908_3	908_4	908_5
-7	93.67816092	92.61083744	96.53179191	92.2705314	87.36263736	83.24022346	92.05298013	90.3030303	89.67741935	88.41463415	81.59509202	88.19875776	88.0239521	88.46153846	74.6835443	84.27672956	81.29032258	78.98089172	77.70700637	77.18120805	75.92592593	75.34246575	72.48322148	73.75886525	87.68472906	84.61538462	86.06965174	89.47368421	69.3877551
-2	98.85057471	95.07389163	102.8901734	97.58454106	95.6043956	93.29608939	96.68874172	96.36363636	95.48387097	97.56097561	95.70552147	98.13664596	97.00598802	98.07692308	94.30379747	94.96855346	97.41935484	92.3566879	95.54140127	92.61744966	90.74074074	91.78082192	94.63087248	102.8368794	95.07389163	96.92307692	93.03482587	97.36842105	91.32653061
0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
1	103.4482759	98.52216749	103.4682081	98.55072464	103.2967033	102.7932961	98.67549669	100	100.6451613	100	101.8404908	102.484472	100.5988024	101.2820513	102.5316456	103.1446541	101.2903226	101.910828	100.6369427	97.98657718	100.617284	101.369863	102.0134228	100	101.4778325	101.025641	100.9950249	103.1578947	102.5510204
2	102.8735632	99.01477833	102.8901734	100	101.0989011	100	96.68874172	98.18181818	99.35483871	101.2195122	98.77300613	96.89440994	101.7964072	100.6410256	105.6962025	100.6289308	103.8709677	101.910828	NA	98.65771812	101.8518519	104.109589	106.7114094	102.8368794	100.9852217	99.48717949	98.50746269	104.7368421	104.5918367
3	102.2988506	98.02955665	103.4682081	100.9661836	98.35164835	98.32402235	96.02649007	97.57575758	89.03225806	90.85365854	96.93251534	90.0621118	97.60479042	89.74358974	93.67088608	86.16352201	98.70967742	84.7133758	NA	90.60402685	91.35802469	95.20547945	92.61744966	90.78014184	100	96.41025641	97.01492537	94.21052632	99.48979592
4	101.7241379	94.58128079	101.734104	97.10144928	95.05494505	97.76536313	97.35099338	94.54545455	89.67741935	95.73170732	100	95.0310559	91.01796407	92.30769231	98.10126582	83.01886792	100.6451613	NA	NA	91.27516779	93.20987654	97.94520548	95.97315436	92.90780142	99.50738916	97.43589744	94.02985075	96.31578947	98.46938776
5	104.0229885	96.55172414	101.734104	98.55072464	NA	96.64804469	96.68874172	93.93939394	94.19354839	NA	100.6134969	87.57763975	93.41317365	88.46153846	NA	86.79245283	104.516129	NA	NA	NA	98.7654321	102.0547945	98.65771812	102.1276596	NA	97.43589744	95.02487562	100	98.97959184
6	106.3218391	100.4926108	106.9364162	102.8985507	NA	98.88268156	96.02649007	92.72727273	96.12903226	NA	101.2269939	92.54658385	96.40718563	92.94871795	NA	91.19496855	105.1612903	NA	NA	NA	103.0864198	102.739726	104.6979866	104.2553191	NA	98.97435897	98.50746269	101.5789474	101.5306122
7	106.3218391	98.52216749	106.3583815	100.9661836	NA	98.88268156	96.02649007	90.3030303	100	NA	102.4539877	95.65217391	92.21556886	95.51282051	NA	98.11320755	105.1612903	NA	NA	NA	100.617284	103.4246575	104.0268456	104.964539	NA	101.025641	99.50248756	102.1052632	106.122449
8	105.7471264	99.50738916	104.0462428	100	NA	101.1173184	100	96.36363636	97.41935484	NA	102.4539877	100.621118	97.00598802	99.35897436	NA	99.37106918	104.516129	NA	NA	NA	100.617284	100.6849315	104.6979866	104.2553191	NA	102.0512821	100.9950249	102.6315789	109.1836735
9	106.3218391	99.50738916	104.0462428	100	NA	101.6759777	98.01324503	95.15151515	96.77419355	NA	103.0674847	101.242236	98.20359281	100	NA	100.6289308	105.8064516	NA	NA	NA	100	102.739726	106.0402685	107.0921986	NA	100	101.4925373	104.2105263	108.6734694
10	104.0229885	100	103.4682081	100	NA	101.1173184	NA	NA	97.41935484	NA	104.9079755	NA	NA	99.35897436	NA	101.2578616	107.0967742	NA	NA	NA	101.8518519	NA	NA	103.5460993	NA	101.5384615	NA	NA	109.6938776
11	103.4482759	97.04433498	105.2023121	100.4830918	NA	100.5586592	NA	NA	99.35483871	NA	106.7484663	NA	NA	100	NA	101.8867925	109.0322581	NA	NA	NA	96.2962963	NA	NA	107.8014184	NA	104.6153846	NA	NA	112.244898
12	102.8735632	99.01477833	104.0462428	100.4830918	NA	100	NA	NA	98.06451613	NA	104.9079755	NA	NA	100	NA	101.2578616	108.3870968	NA	NA	NA	98.14814815	NA	NA	106.3829787	NA	103.0769231	NA	NA	110.7142857
13	104.0229885	95.56650246	98.84393064	NA	NA	105.5865922	NA	NA	99.35483871	NA	107.3619632	NA	NA	101.2820513	NA	108.8050314	110.3225806	NA	NA	NA	96.91358025	NA	NA	106.3829787	NA	86.66666667	NA	NA	91.32653061
14	103.4482759	97.04433498	101.1560694	99.51690821	NA	102.7932961	NA	NA	103.2258065	NA	109.202454	NA	NA	103.2051282	NA	107.5471698	109.0322581	NA	NA	NA	96.91358025	NA	NA	103.5460993	NA	NA	NA	NA	NA
15	104.0229885	96.0591133	100.5780347	98.06763285	NA	99.44134078	NA	NA	98.70967742	NA	110.4294479	NA	NA	100.6410256	NA	105.6603774	110.3225806	NA	NA	NA	102.4691358	NA	NA	103.5460993	NA	NA	NA	NA	NA
16	101.1494253	100	104.0462428	100	NA	103.3519553	NA	NA	100.6451613	NA	111.6564417	NA	NA	103.8461538	NA	103.7735849	107.7419355	NA	NA	NA	109.8765432	NA	NA	107.8014184	NA	NA	NA	NA	NA
