DAY	972_1	972_2	972_3	973_1	973_2	973_3	973_4	973_5	975_1	975_2	975_3	975_4	975_5	981_1	981_2	981_3	981_4	981_5	982_1	982_2	982_3	982_4	983_1	983_2	983_3	983_4	983_5	984_1	984_2	984_3	984_4	986_1	986_2	986_3	986_4	986_5
-7	93.10344828	86.25592417	90.76923077	90.03984064	91.96428571	93.80165289	97.0212766	96.55172414	95.73459716	96.20253165	95.43378995	93.0875576	97.11538462	91.30434783	92.77108434	NA	96.91358025	91.90751445	92.85714286	89.59537572	87.43169399	90.41916168	94.97716895	94.17475728	91.54228856	91.47982063	90.63829787	94.375	94.05405405	94.31818182	90.38461538	94.15584416	92.02453988	87.80487805	89.57055215	88.0239521
-2	98.02955665	98.57819905	102.0512821	96.41434263	98.66071429	96.69421488	98.72340426	98.46743295	100.9478673	99.57805907	98.63013699	98.61751152	99.03846154	99.51690821	96.38554217	NA	100.617284	99.42196532	95.05494505	97.10982659	97.26775956	96.40718563	99.08675799	98.54368932	96.51741294	97.30941704	95.31914894	95	95.13513514	96.02272727	92.94871795	98.7012987	97.54601227	97.56097561	96.3190184	97.60479042
0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	NA	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
1	100.4926108	98.1042654	98.97435897	94.42231076	96.42857143	95.45454545	100.8510638	99.61685824	101.8957346	98.31223629	100.913242	100	104.3269231	97.10144928	98.19277108	NA	101.8518519	98.84393064	101.0989011	98.26589595	97.26775956	97.60479042	99.08675799	100.9708738	100	98.20627803	97.0212766	101.25	98.91891892	96.59090909	93.58974359	98.7012987	100	101.2195122	98.77300613	99.4011976
2	99.50738916	98.1042654	98.46153846	96.01593625	98.21428571	96.69421488	102.5531915	98.08429119	99.0521327	97.0464135	99.543379	97.23502304	100.4807692	96.61835749	99.39759036	NA	99.38271605	100	101.6483516	100.5780347	99.45355191	98.80239521	99.08675799	98.54368932	98.50746269	99.10313901	97.0212766	97.5	97.83783784	94.88636364	94.23076923	101.9480519	99.38650307	98.17073171	96.93251534	99.4011976
3	99.01477833	97.63033175	98.46153846	94.02390438	95.98214286	95.45454545	98.72340426	97.31800766	92.41706161	92.40506329	95.43378995	94.47004608	97.11538462	93.71980676	96.38554217	NA	98.7654321	97.68786127	86.26373626	89.01734104	88.52459016	92.21556886	96.80365297	97.08737864	96.0199005	93.72197309	91.06382979	90	94.05405405	89.20454545	88.46153846	97.4025974	98.1595092	99.3902439	96.93251534	97.00598802
4	99.01477833	97.63033175	98.97435897	87.64940239	91.07142857	97.9338843	98.72340426	88.50574713	95.73459716	94.092827	96.34703196	97.69585253	99.51923077	94.20289855	96.98795181	NA	99.38271605	98.26589595	NA	86.70520231	87.43169399	92.94871795	96.34703196	92.23300971	97.01492537	95.06726457	90.63829787	91.875	96.75675676	91.47727273	NA	98.05194805	98.77300613	95.73170732	96.93251534	93.41317365
5	99.50738916	97.63033175	98.97435897	NA	93.30357143	92.14876033	98.29787234	90.8045977	NA	93.24894515	96.34703196	93.0875576	97.11538462	NA	97.59036145	NA	91.97530864	95.37572254	NA	96.53179191	94.53551913	96.15384615	NA	95.63106796	97.01492537	95.51569507	91.4893617	94.375	98.91891892	95.45454545	NA	NA	99.38650307	96.34146341	96.3190184	92.21556886
6	99.01477833	98.57819905	100.5128205	NA	92.85714286	92.56198347	97.87234043	92.72030651	NA	94.092827	96.34703196	93.5483871	95.19230769	NA	97.59036145	NA	93.82716049	97.10982659	NA	96.53179191	98.90710383	96.79487179	NA	100.4854369	98.50746269	97.30941704	93.61702128	96.25	98.91891892	96.59090909	NA	NA	101.2269939	98.17073171	98.1595092	97.60479042
7	98.52216749	98.57819905	98.46153846	NA	89.73214286	91.32231405	105.106383	87.7394636	NA	93.67088608	94.97716895	93.5483871	94.23076923	NA	95.78313253	NA	96.2962963	95.95375723	NA	95.95375723	97.81420765	96.15384615	NA	101.4563107	97.01492537	95.51569507	93.19148936	95	98.91891892	95.45454545	NA	NA	100.6134969	96.95121951	98.1595092	98.20359281
8	100.4926108	99.52606635	99.48717949	NA	92.41071429	93.38842975	103.8297872	88.50574713	NA	93.24894515	94.52054795	93.0875576	95.19230769	NA	95.78313253	NA	98.14814815	97.68786127	NA	96.53179191	97.81420765	96.15384615	NA	102.9126214	99.00497512	97.30941704	94.89361702	96.875	100.5405405	96.59090909	NA	NA	100.6134969	97.56097561	101.8404908	98.20359281
9	100.9852217	95.73459716	109.7435897	NA	103.5714286	97.9338843	100	98.08429119	NA	97.89029536	97.26027397	95.39170507	99.03846154	NA	98.79518072	NA	101.2345679	101.1560694	NA	97.10982659	99.45355191	99.35897436	NA	104.368932	101.4925373	99.55156951	98.29787234	102.5	100.5405405	100	NA	NA	101.2269939	101.8292683	103.0674847	100
10	100.4926108	100.9478673	102.5641026	NA	NA	NA	97.87234043	95.78544061	NA	NA	NA	95.39170507	98.07692308	NA	NA	NA	100	97.68786127	NA	95.37572254	97.81420765	99.35897436	NA	NA	NA	97.30941704	97.0212766	101.25	100	96.02272727	NA	NA	NA	NA	101.8404908	100.5988024
11	100.9852217	97.63033175	102.5641026	NA	NA	NA	99.57446809	97.31800766	NA	NA	NA	96.77419355	98.07692308	NA	NA	NA	101.2345679	99.42196532	NA	95.95375723	98.36065574	99.35897436	NA	NA	NA	98.65470852	97.44680851	103.75	102.1621622	96.02272727	NA	NA	NA	NA	101.8404908	101.1976048
12	99.50738916	97.63033175	101.5384615	NA	NA	NA	99.57446809	95.78544061	NA	NA	NA	96.31336406	98.07692308	NA	NA	NA	98.7654321	98.26589595	NA	90.75144509	96.17486339	93.58974359	NA	NA	NA	100.4484305	97.0212766	99.375	98.37837838	93.18181818	NA	NA	NA	NA	104.2944785	101.7964072
13	101.4778325	100.4739336	103.5897436	NA	NA	NA	100.8510638	97.31800766	NA	NA	NA	97.69585253	100.9615385	NA	NA	NA	94.44444444	102.8901734	NA	96.53179191	91.2568306	99.35897436	NA	NA	NA	100.896861	99.57446809	100.625	100	93.75	NA	NA	NA	NA	107.3619632	105.3892216
14	103.4482759	97.63033175	103.5897436	NA	NA	NA	101.7021277	98.08429119	NA	NA	NA	98.15668203	102.4038462	NA	NA	NA	89.50617284	86.12716763	NA	86.12716763	90.16393443	81.41025641	NA	NA	NA	95.96412556	94.46808511	93.75	97.2972973	95.45454545	NA	NA	NA	NA	104.9079755	95.80838323
15	104.9261084	96.68246445	103.5897436	NA	NA	NA	101.7021277	100.7662835	NA	NA	NA	100.921659	104.3269231	NA	NA	NA	97.5308642	93.06358382	NA	90.75144509	96.17486339	83.33333333	NA	NA	NA	97.30941704	95.31914894	95	104.3243243	100.5681818	NA	NA	NA	NA	106.1349693	101.1976048
16	99.50738916	100.9478673	101.5384615	NA	NA	NA	100.4255319	97.70114943	NA	NA	NA	99.53917051	101.4423077	NA	NA	NA	93.82716049	90.1734104	NA	101.734104	93.44262295	90.38461538	NA	NA	NA	96.41255605	94.89361702	98.125	90.81081081	105.6818182	NA	NA	NA	NA	103.0674847	101.7964072
