sampleID	treat	treatment	day	cage	mouse	exp	colonization_w.yes	colonization	type	weight	log_colonization	toxin
d0_1006_1	no_FMT	no_FMT	0	1006	1	3	NA	NA	NA	100	NA	NA
d0_1006_2	no_FMT	no_FMT	0	1006	2	3	NA	NA	NA	100	NA	NA
d0_1006_3	no_FMT	no_FMT	0	1006	3	3	NA	NA	NA	100	NA	NA
d0_1006_4	no_FMT	no_FMT	0	1006	4	3	NA	NA	NA	100	NA	NA
d0_1006_5	no_FMT	no_FMT	0	1006	5	3	NA	NA	NA	100	NA	NA
d0_1007_1	FMT	FMT2	0	1007	1	3	NA	NA	NA	100	NA	NA
d0_1007_2	FMT	FMT2	0	1007	2	3	NA	NA	NA	100	NA	NA
d0_1007_3	FMT	FMT2	0	1007	3	3	NA	NA	NA	100	NA	NA
d0_1007_4	FMT	FMT2	0	1007	4	3	NA	NA	NA	100	NA	NA
d0_1007_5	FMT	FMT2	0	1007	5	3	NA	NA	NA	100	NA	NA
d0_1008_1	FMT	FMT3	0	1008	1	3	NA	NA	NA	100	NA	NA
d0_1008_2	FMT	FMT3	0	1008	2	3	NA	NA	NA	100	NA	NA
d0_1008_3	FMT	FMT3	0	1008	3	3	NA	NA	NA	100	NA	NA
d0_1008_4	FMT	FMT3	0	1008	4	3	NA	NA	NA	100	NA	NA
d0_1008_5	FMT	FMT3	0	1008	5	3	NA	NA	NA	100	NA	NA
d0_1009_1	FMT	FMT3	0	1009	1	3	NA	NA	NA	100	NA	NA
d0_1009_2	FMT	FMT3	0	1009	2	3	NA	NA	NA	100	NA	NA
d0_1009_3	FMT	FMT3	0	1009	3	3	NA	NA	NA	100	NA	NA
d0_1009_4	FMT	FMT3	0	1009	4	3	NA	NA	NA	100	NA	NA
d0_1009_5	FMT	FMT3	0	1009	5	3	NA	NA	NA	100	NA	NA
d0_1010_1	FMT	FMT2	0	1010	1	3	NA	NA	NA	100	NA	NA
d0_1010_2	FMT	FMT2	0	1010	2	3	NA	NA	NA	100	NA	NA
d0_1010_3	FMT	FMT2	0	1010	3	3	NA	NA	NA	100	NA	NA
d0_1010_4	FMT	FMT2	0	1010	4	3	NA	NA	NA	100	NA	NA
d0_1010_5	FMT	FMT2	0	1010	5	3	NA	NA	NA	100	NA	NA
d0_1015_1	FMT	FMT2X	0	1015	1	3	NA	NA	NA	100	NA	NA
d0_1015_2	FMT	FMT2X	0	1015	2	3	NA	NA	NA	100	NA	NA
d0_1015_3	FMT	FMT2X	0	1015	3	3	NA	NA	NA	100	NA	NA
d0_1015_4	FMT	FMT2X	0	1015	4	3	NA	NA	NA	100	NA	NA
d0_1015_5	FMT	FMT2X	0	1015	5	3	NA	NA	NA	100	NA	NA
d1_1006_1	no_FMT	no_FMT	1	1006	1	3	37700000	37700000	stool	98.2	7.57634135	NA
d1_1006_2	no_FMT	no_FMT	1	1006	2	3	28600000	28600000	stool	100.6	7.456366033	NA
d1_1006_3	no_FMT	no_FMT	1	1006	3	3	36700000	36700000	stool	103.6	7.564666064	NA
d1_1006_4	no_FMT	no_FMT	1	1006	4	3	NA	NA	NA	101.1	NA	NA
d1_1006_5	no_FMT	no_FMT	1	1006	5	3	NA	NA	NA	100.6	NA	NA
d1_1007_1	FMT	FMT2	1	1007	1	3	18800000	18800000	stool	101.6	7.274157849	NA
d1_1007_2	FMT	FMT2	1	1007	2	3	300000	300000	stool	100	5.477121255	NA
d1_1007_3	FMT	FMT2	1	1007	3	3	19500000	19500000	stool	103.3	7.290034611	NA
d1_1007_4	FMT	FMT2	1	1007	4	3	NA	NA	NA	99.5	NA	NA
d1_1007_5	FMT	FMT2	1	1007	5	3	NA	NA	NA	100	NA	NA
d1_1008_1	FMT	FMT3	1	1008	1	3	30000000	30000000	stool	96.3	7.477121255	NA
