Day	1006_1	1006_2	1006_3	1006_4	1006_5	1007_1	1007_2	1007_3	1007_4	1007_5	1008_1	1008_2	1008_3	1008_4	1008_5	1009_1	1009_2	1009_3	1009_4	1009_5	1010_1	1010_2	1010_3	1010_4	1010_5	1015_1	1015_2	1015_3	1015_4	1015_5
-7	91.76470588	93.75	92.21556886	94.02173913	94.67455621	98.41269841	99.45054945	94.44444444	94.02173913	94.79768786	93.61702128	91.27906977	96.82539683	97.02380952	92.30769231	100	95.08196721	94.27083333	93.82022472	95	95.02762431	94.31818182	97.17514124	97.6744186	96.83544304	99.45355191	96.11111111	94.80519481	94.56521739	96.98795181
0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
1	98.23529412	100.625	103.5928144	101.0869565	100.591716	101.5873016	100	103.3333333	99.45652174	100	96.27659574	101.744186	101.0582011	102.3809524	105.4945055	102.7777778	101.0928962	102.0833333	103.9325843	103.8888889	97.79005525	98.86363636	103.9548023	103.4883721	101.2658228	109.2896175	101.1111111	100	104.8913043	106.0240964
2	97.05882353	102.5	105.3892216	98.91304348	104.7337278	96.2962963	93.40659341	102.7777778	82.60869565	110.4046243	101.5957447	104.0697674	97.88359788	103.5714286	107.1428571	106.1111111	103.2786885	105.2083333	104.494382	107.2222222	99.44751381	95.45454545	94.35028249	97.6744186	98.73417722	98.36065574	90.55555556	104.5454545	101.6304348	105.4216867
3	91.17647059	94.375	95.20958084	93.47826087	94.08284024	99.47089947	98.35164835	93.88888889	94.56521739	95.37572254	87.76595745	98.25581395	99.47089947	94.64285714	94.50549451	96.11111111	88.52459016	82.8125	80.33707865	85	NA	92.61363636	90.96045198	97.09302326	92.40506329	93.44262295	101.1111111	91.55844156	93.47826087	93.97590361
4	91.17647059	94.375	100	96.19565217	88.75739645	93.12169312	97.8021978	98.88888889	97.2826087	92.48554913	88.29787234	90.11627907	95.76719577	92.85714286	93.95604396	95.55555556	86.33879781	NA	82.58426966	89.44444444	NA	94.88636364	97.17514124	98.25581395	93.67088608	95.08196721	100	90.90909091	98.36956522	94.57831325
5	92.35294118	95	97.60479042	95.10869565	95.26627219	96.2962963	99.45054945	100.5555556	95.65217391	94.21965318	94.68085106	95.34883721	97.88359788	97.61904762	97.25274725	97.22222222	92.89617486	NA	89.88764045	95	NA	94.31818182	102.259887	99.41860465	98.10126582	100	97.22222222	95.45454545	101.0869565	96.38554217
7	98.23529412	94.375	100	100	101.7751479	101.5873016	101.6483516	105	100	96.53179191	96.27659574	98.25581395	97.88359788	98.21428571	100	97.77777778	96.72131148	NA	100.5617978	102.2222222	NA	96.59090909	101.6949153	101.744186	102.5316456	101.6393443	97.22222222	98.05194805	103.8043478	99.39759036
9	99.41176471	96.25	103.5928144	101.0869565	100	102.1164021	102.7472527	105.5555556	100.5434783	100	99.46808511	98.8372093	96.2962963	94.04761905	98.35164835	100.5555556	100	NA	101.1235955	103.8888889	NA	98.86363636	103.9548023	103.4883721	101.8987342	103.2786885	97.77777778	100	104.8913043	101.2048193
10	99.41176471	96.25	103.5928144	101.0869565	100	102.1164021	102.7472527	105.5555556	100.5434783	100	99.46808511	98.8372093	96.2962963	94.04761905	98.35164835	100.5555556	100	NA	101.1235955	103.8888889	NA	98.86363636	103.9548023	103.4883721	101.8987342	103.2786885	97.77777778	100	104.8913043	101.2048193
11	99.41176471	98.125	101.7964072	100	100	100.5291005	100.5494505	104.4444444	100	100.5780347	95.74468085	99.41860465	92.06349206	94.64285714	97.25274725	101.6666667	100.5464481	NA	99.43820225	102.2222222	NA	98.29545455	103.3898305	102.3255814	101.8987342	103.8251366	98.88888889	100.6493506	106.5217391	100
12	98.82352941	96.875	101.7964072	99.45652174	100	97.88359788	98.9010989	101.1111111	98.36956522	90.75144509	96.80851064	98.25581395	96.2962963	95.23809524	97.25274725	100	98.90710383	NA	101.1235955	103.8888889	NA	94.31818182	101.6949153	94.18604651	92.40506329	101.0928962	103.3333333	95.45454545	91.84782609	97.59036145
13	88.23529412	90	89.82035928	89.67391304	90.53254438	88.35978836	94.50549451	100	102.7173913	92.48554913	92.55319149	93.02325581	95.23809524	97.02380952	97.8021978	87.22222222	91.2568306	NA	90.4494382	90	NA	94.88636364	100	92.44186047	88.60759494	101.0928962	83.88888889	92.20779221	100	96.38554217
14	85.88235294	91.25	92.81437126	83.69565217	94.67455621	95.23809524	95.6043956	103.3333333	NA	91.32947977	94.14893617	92.44186047	89.94708995	96.42857143	96.7032967	85.55555556	91.80327869	NA	83.14606742	95.55555556	NA	77.27272727	96.04519774	84.88372093	82.27848101	98.36065574	76.11111111	86.36363636	97.82608696	89.75903614
