sampleID	Day	cage_mouse	exp	cage	mouse	treatment	treatment2	group_time	group
dn7_901_1	-7	901_1	1	901	1	abx	abx_only	pre	abx
dn7_901_2	-7	901_2	1	901	2	abx	abx_only	pre	abx
dn7_901_3	-7	901_3	1	901	3	abx	abx_only	pre	abx
dn7_901_4	-7	901_4	1	901	4	abx	abx_only	pre	abx
dn2_901_1	-2	901_1	1	901	1	abx	abx_only	cef	abx
dn2_901_2	-2	901_2	1	901	2	abx	abx_only	cef	abx
dn2_901_3	-2	901_3	1	901	3	abx	abx_only	cef	abx
dn2_901_4	-2	901_4	1	901	4	abx	abx_only	cef	abx
d0_901_1	0	901_1	1	901	1	abx	abx_only	post_cef	abx
d0_901_2	0	901_2	1	901	2	abx	abx_only	post_cef	abx
d0_901_3	0	901_3	1	901	3	abx	abx_only	post_cef	abx
d0_901_4	0	901_4	1	901	4	abx	abx_only	post_cef	abx
d1_901_1	1	901_1	1	901	1	abx	abx_only	post_cef	abx
d1_901_2	1	901_2	1	901	2	abx	abx_only	post_cef	abx
d1_901_3	1	901_3	1	901	3	abx	abx_only	post_cef	abx
d1_901_4	1	901_4	1	901	4	abx	abx_only	post_cef	abx
d2_901_1	2	901_1	1	901	1	abx	abx_only	post_cef	abx
d2_901_2	2	901_2	1	901	2	abx	abx_only	post_cef	abx
d2_901_3	2	901_3	1	901	3	abx	abx_only	post_cef	abx
d2_901_4	2	901_4	1	901	4	abx	abx_only	post_cef	abx
d3_901_1	3	901_1	1	901	1	abx	abx_only	post_cef	abx
d3_901_2	3	901_2	1	901	2	abx	abx_only	post_cef	abx
d3_901_3	3	901_3	1	901	3	abx	abx_only	post_cef	abx
d3_901_4	3	901_4	1	901	4	abx	abx_only	post_cef	abx
d4_901_1	4	901_1	1	901	1	abx	abx_only	post_cef	abx
d4_901_2	4	901_2	1	901	2	abx	abx_only	post_cef	abx
d4_901_3	4	901_3	1	901	3	abx	abx_only	post_cef	abx
d4_901_4	4	901_4	1	901	4	abx	abx_only	post_cef	abx
d5_901_1	5	901_1	1	901	1	abx	abx_only	vanco	abx
d5_901_2	5	901_2	1	901	2	abx	abx_only	vanco	abx
d5_901_3	5	901_3	1	901	3	abx	abx_only	vanco	abx
d5_901_4	5	901_4	1	901	4	abx	abx_only	vanco	abx
d6_901_1	6	901_1	1	901	1	abx	abx_only	vanco	abx
d6_901_2	6	901_2	1	901	2	abx	abx_only	vanco	abx
d6_901_3	6	901_3	1	901	3	abx	abx_only	vanco	abx
d6_901_4	6	901_4	1	901	4	abx	abx_only	vanco	abx
d7_901_1	7	901_1	1	901	1	abx	abx_only	vanco	abx
d7_901_2	7	901_2	1	901	2	abx	abx_only	vanco	abx
d7_901_3	7	901_3	1	901	3	abx	abx_only	vanco	abx
d7_901_4	7	901_4	1	901	4	abx	abx_only	vanco	abx
d8_901_1	8	901_1	1	901	1	abx	abx_only	vanco	abx
d8_901_2	8	901_2	1	901	2	abx	abx_only	vanco	abx
d8_901_3	8	901_3	1	901	3	abx	abx_only	vanco	abx
d8_901_4	8	901_4	1	901	4	abx	abx_only	vanco	abx
d9_901_1	9	901_1	1	901	1	abx	abx_only	vanco	abx
d9_901_2	9	901_2	1	901	2	abx	abx_only	vanco	abx
d9_901_3	9	901_3	1	901	3	abx	abx_only	vanco	abx
d9_901_4	9	901_4	1	901	4	abx	abx_only	vanco	abx
d10_901_1	10	901_1	1	901	1	abx	abx_only	post_vanco	abx
d10_901_2	10	901_2	1	901	2	abx	abx_only	post_vanco	abx
d10_901_3	10	901_3	1	901	3	abx	abx_only	post_vanco	abx
d10_901_4	10	901_4	1	901	4	abx	abx_only	post_vanco	abx
d11_901_1	11	901_1	1	901	1	abx	abx_only	post_vanco	abx
d11_901_2	11	901_2	1	901	2	abx	abx_only	post_vanco	abx
d11_901_3	11	901_3	1	901	3	abx	abx_only	post_vanco	abx
d11_901_4	11	901_4	1	901	4	abx	abx_only	post_vanco	abx
d12_901_1	12	901_1	1	901	1	abx	abx_only	post_vanco	abx
d12_901_2	12	901_2	1	901	2	abx	abx_only	post_vanco	abx
d12_901_3	12	901_3	1	901	3	abx	abx_only	post_vanco	abx
d12_901_4	12	901_4	1	901	4	abx	abx_only	post_vanco	abx
d13_901_1	13	901_1	1	901	1	abx	abx_only	post_vanco	abx
d13_901_2	13	901_2	1	901	2	abx	abx_only	post_vanco	abx
d13_901_3	13	901_3	1	901	3	abx	abx_only	post_vanco	abx
d13_901_4	13	901_4	1	901	4	abx	abx_only	post_vanco	abx
d14_901_1	14	901_1	1	901	1	abx	abx_only	post_vanco	abx
d14_901_2	14	901_2	1	901	2	abx	abx_only	post_vanco	abx
d14_901_3	14	901_3	1	901	3	abx	abx_only	post_vanco	abx
d14_901_4	14	901_4	1	901	4	abx	abx_only	post_vanco	abx
d15_901_1	15	901_1	1	901	1	abx	abx_only	post_vanco	abx
d15_901_2	15	901_2	1	901	2	abx	abx_only	post_vanco	abx
d15_901_3	15	901_3	1	901	3	abx	abx_only	post_vanco	abx
d15_901_4	15	901_4	1	901	4	abx	abx_only	post_vanco	abx
d16_901_1	16	901_1	1	901	1	abx	abx_only	post_vanco	abx
d16_901_2	16	901_2	1	901	2	abx	abx_only	post_vanco	abx
d16_901_3	16	901_3	1	901	3	abx	abx_only	post_vanco	abx
d16_901_4	16	901_4	1	901	4	abx	abx_only	post_vanco	abx
dn7_904_1	-7	904_1	1	904	1	no_vanco	no_vanco	pre	no_vanco
dn7_904_2	-7	904_2	1	904	2	no_vanco	no_vanco	pre	no_vanco
dn7_904_3	-7	904_3	1	904	3	no_vanco	no_vanco	pre	no_vanco
dn7_904_4	-7	904_4	1	904	4	no_vanco	no_vanco	pre	no_vanco
dn7_904_5	-7	904_5	1	904	5	no_vanco	no_vanco	pre	no_vanco
dn2_904_1	-2	904_1	1	904	1	no_vanco	no_vanco	cef	no_vanco
dn2_904_2	-2	904_2	1	904	2	no_vanco	no_vanco	cef	no_vanco
dn2_904_3	-2	904_3	1	904	3	no_vanco	no_vanco	cef	no_vanco
dn2_904_4	-2	904_4	1	904	4	no_vanco	no_vanco	cef	no_vanco
dn2_904_5	-2	904_5	1	904	5	no_vanco	no_vanco	cef	no_vanco
d0_904_1	0	904_1	1	904	1	no_vanco	no_vanco	post_cef	no_vanco
d0_904_2	0	904_2	1	904	2	no_vanco	no_vanco	post_cef	no_vanco
d0_904_3	0	904_3	1	904	3	no_vanco	no_vanco	post_cef	no_vanco
d0_904_4	0	904_4	1	904	4	no_vanco	no_vanco	post_cef	no_vanco
d0_904_5	0	904_5	1	904	5	no_vanco	no_vanco	post_cef	no_vanco
d1_904_1	1	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d1_904_2	1	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d1_904_3	1	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d1_904_4	1	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d1_904_5	1	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d2_904_1	2	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d2_904_2	2	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d2_904_3	2	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d2_904_4	2	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d2_904_5	2	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d3_904_1	3	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d3_904_2	3	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d3_904_3	3	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d3_904_4	3	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d3_904_5	3	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d4_904_1	4	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d4_904_2	4	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d4_904_3	4	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d4_904_4	4	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d4_904_5	4	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d5_904_1	5	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d5_904_2	5	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d5_904_3	5	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d5_904_4	5	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d5_904_5	5	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d6_904_1	6	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d6_904_2	6	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d6_904_3	6	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d6_904_4	6	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d6_904_5	6	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d7_904_1	7	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d7_904_2	7	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d7_904_3	7	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d7_904_4	7	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d7_904_5	7	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d8_904_1	8	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d8_904_2	8	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d8_904_3	8	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d8_904_4	8	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d8_904_5	8	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d9_904_1	9	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d9_904_2	9	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d9_904_3	9	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d9_904_4	9	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d9_904_5	9	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d10_904_1	10	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d10_904_2	10	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d10_904_3	10	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d10_904_4	10	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d10_904_5	10	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d11_904_1	11	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d11_904_2	11	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d11_904_3	11	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d11_904_4	11	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d11_904_5	11	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d12_904_1	12	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d12_904_2	12	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d12_904_3	12	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d12_904_4	12	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d12_904_5	12	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d13_904_1	13	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d13_904_2	13	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d13_904_3	13	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d13_904_4	13	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d13_904_5	13	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d14_904_1	14	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d14_904_2	14	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d14_904_3	14	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d14_904_4	14	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d14_904_5	14	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d15_904_1	15	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d15_904_2	15	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d15_904_3	15	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d15_904_4	15	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d15_904_5	15	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
d16_904_1	16	904_1	1	904	1	no_vanco	no_vanco	post_CDI	no_vanco
d16_904_2	16	904_2	1	904	2	no_vanco	no_vanco	post_CDI	no_vanco
d16_904_3	16	904_3	1	904	3	no_vanco	no_vanco	post_CDI	no_vanco
d16_904_4	16	904_4	1	904	4	no_vanco	no_vanco	post_CDI	no_vanco
d16_904_5	16	904_5	1	904	5	no_vanco	no_vanco	post_CDI	no_vanco
dn7_905_1	-7	905_1	1	905	1	no_vanco	no_vanco	pre	no_vanco
dn7_905_2	-7	905_2	1	905	2	no_vanco	no_vanco	pre	no_vanco
dn7_905_3	-7	905_3	1	905	3	no_vanco	no_vanco	pre	no_vanco
dn7_905_4	-7	905_4	1	905	4	no_vanco	no_vanco	pre	no_vanco
dn7_905_5	-7	905_5	1	905	5	no_vanco	no_vanco	pre	no_vanco
dn2_905_1	-2	905_1	1	905	1	no_vanco	no_vanco	cef	no_vanco
dn2_905_2	-2	905_2	1	905	2	no_vanco	no_vanco	cef	no_vanco
dn2_905_3	-2	905_3	1	905	3	no_vanco	no_vanco	cef	no_vanco
dn2_905_4	-2	905_4	1	905	4	no_vanco	no_vanco	cef	no_vanco
