slideID	sampleID	group	tissue3	edema	inflammation	epithelial_damage	dominant_inflam	summary_score	GALT_hyperplasia
51	d16_901_1	abx	colon	0	1	0	mixed	1	0
45	d16_901_2	abx	colon	0	1	0	mixed	1	1
41	d16_901_3	abx	colon	0	1	0	mixed	1	1
49	d16_901_4	abx	colon	0	2	0	mixed	2	0
36	d4_905_1	novanco	colon	1	3	0	neutrophilic	4	1
54	d4_906_1	vanco	colon	1	2	0	mixed	3	1
34	d4_907_1	vanco	colon	1	3	0	mixed	4	1
38	d4_908_1	vanco	colon	1	3	0	mixed	4	2
46	d16_904_5	novanco	colon	1	1	0	mixed	2	0
40	d16_905_2	novanco	colon	0	1	0	mixed	1	0
39	d16_905_5	novanco	colon	1	1	0	mixed	2	1
50	d9_904_4	novanco	colon	1	2	0	mixed	3	0
44	d9_905_3	novanco	colon	1	3	0	mixed	4	0
42	d9_905_4	novanco	colon	1	2	0	mixed	3	0
37	d13_908_5	vanco	colon	3	3	3	neutrophilic	9	2
53	d16_906_5	vanco	colon	2	3	0	neutrophilic	5	1
47	d16_907_2	vanco	colon	2	3	0	mixed	5	1
35	d16_907_5	vanco	colon	1	3	0	mixed	4	2
43	d9_907_4	vanco	colon	0	1	0	mixed	1	0
48	d9_908_3	vanco	colon	0	2	0	mixed	2	0
52	d9_908_4	vanco	colon	0	2	0	mixed	2	0
16	d16_901_1	abx	cecum	1	1	0	mononuclear	2	0
27	d16_901_2	abx	cecum	0	0	0	NA	0	0
25	d16_901_3	abx	cecum	1	2	0	mixed	3	1
15	d16_901_4	abx	cecum	1	1	0	mononuclear	2	0
19	d16_904_5	novanco	cecum	0	1	0	mononuclear	1	1
22	d16_905_2	novanco	cecum	1	2	0	mononuclear	3	1
26	d16_905_5	novanco	cecum	2	1	0	mixed	3	1
32	d4_905_1	novanco	cecum	3	3	1	neutrophilic	7	1
21	d9_904_4	novanco	cecum	1	2	0	mononuclear	3	1
23	d9_905_3	novanco	cecum	1	3	1	neutrophilic	5	2
14	d9_905_4	novanco	cecum	2	3	1	neutrophilic	6	1
17	d13_908_5	vanco	cecum	4	3	2	neutrophilic	9	0
13	d16_906_5	vanco	cecum	2	3	1	neutrophilic	6	2
31	d16_907_2	vanco	cecum	2	3	0	mixed	5	1
18	d16_907_5	vanco	cecum	2	2	0	mixed	4	1
30	d4_906_1	vanco	cecum	4	3	1	neutrophilic	8	0
20	d4_907_1	vanco	cecum	3	3	1	neutrophilic	7	1
29	d4_908_1	vanco	cecum	2	3	1	neutrophilic	6	2
33	d9_907_4	vanco	cecum	1	1	0	mononuclear	2	1
24	d9_908_3	vanco	cecum	0	1	0	mixed	1	1
28	d9_908_4	vanco	cecum	0	0	0	NA	0	0
1	d4_904_1	novanco	cecum	2	3	0	neutrophilic	5	0
3	d9_904_3	novanco	cecum	1	1	0	mixed	2	1
5	d9_907_3	vanco	cecum	0	0	0	NA	0	0
7	d13_908_2	vanco	cecum	4	3	3	neutrophilic	10	0
9	d16_904_2	novanco	cecum	2	2	0	mixed	4	0
11	d16_906_2	vanco	cecum	2	2	1	neutrophilic	5	2
2	d4_904_1	novanco	colon	2	3	1	neutrophilic	6	1
4	d9_904_3	novanco	colon	0	1	0	mixed	1	1
6	d9_907_3	vanco	colon	1	1	0	mixed	2	0
8	d13_908_2	vanco	colon	2	2	3	neutrophilic	7	0
10	d16_904_2	novanco	colon	0	1	0	mononuclear	1	0
12	d16_906_2	vanco	colon	1	2	1	neutrophilic	4	0
