sampleID	cage	day	mouse	exp	treatment	treatment2	group_time	group	group_col	group_time_col	bargroup	bargroup2
d11_1001_fmt	1001	-8	donor	3	donor	donor	fmt	donor	forestgreen	green3	pre	other
d12_1001_fmt	1001	-8	donor	3	donor	donor	fmt	donor	forestgreen	green3	pre	other
d11_1002_fmt	1002	-8	donor	3	donor	donor	fmt	donor	forestgreen	green3	pre	other
d12_1002_fmt	1002	-8	donor	3	donor	donor	fmt	donor	forestgreen	green3	pre	other
dn7_972_1	972	-7	1	2	abx	abx_only	pre	abx	goldenrod2	green4	pre	other
dn7_972_2	972	-7	2	2	abx	abx_only	pre	abx	goldenrod2	green4	pre	other
dn7_972_3	972	-7	3	2	abx	abx_only	pre	abx	goldenrod2	green4	pre	other
dn7_982_2	982	-7	2	2	FMT2	FMT	pre	CDI_FMT1	darkviolet	green4	pre	other
dn7_982_3	982	-7	3	2	FMT2	FMT	pre	CDI_FMT1	darkviolet	green4	pre	other
dn7_986_1	986	-7	1	2	abx	no_FMT	pre	CDI_noFMT	darkviolet	green4	pre	other
dn7_986_2	986	-7	2	2	abx	no_FMT	pre	CDI_noFMT	darkviolet	green4	pre	other
dn2_972_1	972	-2	1	2	abx	abx_only	cef	abx	goldenrod2	hotpink	other	other
dn2_972_2	972	-2	2	2	abx	abx_only	cef	abx	goldenrod2	hotpink	other	other
dn2_972_3	972	-2	3	2	abx	abx_only	cef	abx	goldenrod2	hotpink	other	other
d0_972_1	972	0	1	2	abx	abx_only	cef	abx	goldenrod2	hotpink	cdi	other
d0_972_2	972	0	2	2	abx	abx_only	cef	abx	goldenrod2	hotpink	cdi	other
d0_972_3	972	0	3	2	abx	abx_only	cef	abx	goldenrod2	hotpink	cdi	other
d1_972_1	972	1	1	2	abx	abx_only	post_cef	abx	goldenrod2	magenta1	cdi	other
d1_972_2	972	1	2	2	abx	abx_only	post_cef	abx	goldenrod2	magenta1	cdi	other
d1_1006_1	1006	1	1	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	cdi	noFMT
d1_1006_2	1006	1	2	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	cdi	noFMT
d1_1006_3	1006	1	3	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	cdi	noFMT
d1_1007_1	1007	1	1	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1007_2	1007	1	2	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1007_3	1007	1	3	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1008_1	1008	1	1	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1008_2	1008	1	2	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1008_3	1008	1	3	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1009_1	1009	1	1	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1009_2	1009	1	2	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1009_3	1009	1	3	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	cdi	FMT
d1_1010_1	1010	1	1	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1010_2	1010	1	2	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1010_3	1010	1	3	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1015_1	1015	1	1	3	FMT4	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1015_2	1015	1	2	3	FMT4	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d1_1015_3	1015	1	3	3	FMT4	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	cdi	FMT
d4_972_1	972	4	1	2	abx	abx_only	post_cef	abx	goldenrod2	magenta1	cdi	other
d4_972_2	972	4	2	2	abx	abx_only	post_cef	abx	goldenrod2	magenta1	cdi	other
d4_972_3	972	4	3	2	abx	abx_only	post_cef	abx	goldenrod2	magenta1	cdi	other
d4_982_2	982	4	2	2	FMT2	FMT	post_CDI	CDI_FMT1	darkviolet	cyan	cdi	other
d4_982_3	982	4	3	2	FMT2	FMT	post_CDI	CDI_FMT1	darkviolet	cyan	cdi	other
d4_986_1	986	4	1	2	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	cdi	other
d4_986_2	986	4	2	2	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	cdi	other
d7_972_1	972	7	1	2	abx	abx_only	vanco	abx	goldenrod2	magenta4	other	other
d7_972_2	972	7	2	2	abx	abx_only	vanco	abx	goldenrod2	magenta4	other	other
d10_972_1	972	10	1	2	abx	abx_only	post_vanco	abx	goldenrod2	red4	post10	other
