	sampleID	cage	day	mouse	exp	treatment	treat	group_time	group	group_col	group_time_col	invsimpson	shannon	npshannon	sobs	nseqs	pcoa_axis1	pcoa_axis2	pcoa_axis3	pcoa_axis4	nmds_axis1	nmds_axis2	nmds_axis3	nmds_axis4
1	d0_972_1	972	0	1	2	abx	abx_only	cef	abx	goldenrod2	hotpink	1.003349	0.017049	0.020922	29	39517	-0.3024	-0.367433	0.375195	-0.032182	-0.45367	-0.117964	0.070186	0.433722
2	d0_972_2	972	0	2	2	abx	abx_only	cef	abx	goldenrod2	hotpink	1.004815	0.022589	0.026016	24	32508	-0.302478	-0.36742	0.37522	-0.032182	-0.453657	-0.118077	0.070106	0.433611
3	d0_972_3	972	0	3	2	abx	abx_only	cef	abx	goldenrod2	hotpink	1.002514	0.013351	0.016929	26	36661	-0.302382	-0.367411	0.37518	-0.032226	-0.453692	-0.117901	0.070238	0.433752
4	d1_1006_1	1006	1	1	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	1.604563	0.681764	0.686738	34	30534	-0.310789	-0.37719	0.396936	-0.020249	-0.438652	-0.182866	-0.006668	0.404692
5	d1_1006_2	1006	1	2	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	2.202954	0.940499	0.944587	28	25331	-0.282879	-0.373563	0.418405	-0.005166	-0.41641	-0.197312	-0.135327	0.36859
6	d1_1006_3	1006	1	3	3	abx	no_FMT	post_CDI	CDI_noFMT	darkviolet	cyan	1.94257	0.861057	0.864324	21	23547	-0.299548	-0.378594	0.413225	-0.010073	-0.427028	-0.1908	-0.072753	0.385072
7	d1_1007_1	1007	1	1	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	2.235483	0.95592	0.960222	32	28231	-0.286391	-0.374099	0.416949	-0.006046	-0.416882	-0.202804	-0.124281	0.370881
8	d1_1007_2	1007	1	2	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	2.043595	0.899635	0.903886	29	26147	-0.297949	-0.37755	0.412944	-0.00962	-0.424412	-0.198712	-0.081844	0.382283
9	d1_1007_3	1007	1	3	3	FMT2	FMT	post_CDI	CDI_FMT1	firebrick2	cyan	2.127962	0.903175	0.905614	23	29424	-0.298129	-0.370931	0.399995	-0.015229	-0.422869	-0.230927	-0.080379	0.384212
10	d1_1008_1	1008	1	1	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	1.739508	0.706565	0.710438	29	26196	-0.308647	-0.372798	0.391738	-0.021969	-0.435014	-0.209827	-0.016312	0.402526
11	d1_1008_2	1008	1	2	3	FMT3	FMT	post_CDI	CDI_FMT2	firebrick2	cyan	1.765952	0.73671	0.740225	28	29342	-0.308406	-0.373834	0.394023	-0.020805	-0.434251	-0.208399	-0.021781	0.400872
