group1	group2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci
d0_972_1	d0_972_2	11	0.098646	0.808872	0.000001	0	0.000002
d0_972_1	d0_972_3	13	0.038069	0.821206	0	0	0.000001
d0_972_2	d0_972_3	14	0.061516	0.864406	0.000002	0	0.000004
d0_972_1	d10_1006_1	10	0.738818	0.778147	0.777756	0.772452	0.783061
d0_972_2	d10_1006_1	12	0.710648	0.833606	0.777639	0.772332	0.782946
d0_972_3	d10_1006_1	10	0.728073	0.796659	0.777785	0.772482	0.783088
d0_972_1	d10_1006_2	8	0.815202	0.833994	0.768317	0.760923	0.775711
d0_972_2	d10_1006_2	8	0.789325	0.864565	0.768197	0.760799	0.775594
d0_972_3	d10_1006_2	7	0.805544	0.839896	0.768347	0.760955	0.77574
d10_1006_1	d10_1006_2	9	0.296795	0.858616	0.000236	-0.000173	0.000646
d0_972_1	d10_1006_3	7	0.695775	0.790434	0.539257	0.528788	0.549726
d0_972_2	d10_1006_3	7	0.654166	0.821264	0.53902	0.528545	0.549495
d0_972_3	d10_1006_3	8	0.68015	0.821218	0.539348	0.528882	0.549814
d10_1006_1	d10_1006_3	6	0.274158	0.790455	0.1168	0.106609	0.126991
d10_1006_2	d10_1006_3	7	0.171109	0.882874	0.108322	0.09724	0.119403
d0_972_1	d10_1007_1	6	0.82451	0.8093	0.776779	0.769524	0.784035
d0_972_2	d10_1007_1	7	0.799889	0.852003	0.776657	0.769397	0.783916
d0_972_3	d10_1007_1	6	0.815303	0.82745	0.776811	0.769557	0.784065
d10_1006_1	d10_1007_1	6	0.320366	0.821452	0.002135	0.001509	0.00276
d10_1006_2	d10_1007_1	6	0.034147	0.901151	0.002109	0.001744	0.002475
d10_1006_3	d10_1007_1	6	0.185553	0.870499	0.111554	0.10038	0.122727
d0_972_1	d10_1007_2	13	0.853414	0.71077	0.924513	0.922629	0.926397
d0_972_2	d10_1007_2	12	0.842679	0.729545	0.924448	0.922562	0.926333
d0_972_3	d10_1007_2	13	0.849339	0.729698	0.924518	0.922634	0.926402
d10_1006_1	d10_1007_2	12	0.358013	0.711322	0.068025	0.063327	0.072723
d10_1006_2	d10_1007_2	8	0.558078	0.74337	0.074587	0.06813	0.081044
d10_1006_3	d10_1007_2	8	0.574738	0.711462	0.307288	0.295567	0.31901
d10_1007_1	d10_1007_2	9	0.558156	0.755888	0.073502	0.066908	0.080097
d0_972_1	d10_1007_3	11	0.737371	0.765704	0.793615	0.788867	0.798363
d0_972_2	d10_1007_3	13	0.710717	0.821686	0.793502	0.788752	0.798253
d0_972_3	d10_1007_3	10	0.727518	0.772263	0.793642	0.788895	0.798388
d10_1006_1	d10_1007_3	13	0.068608	0.80338	0.000871	0.00037	0.001373
d10_1006_2	d10_1007_3	11	0.35373	0.858888	0.0017	0.000691	0.00271
d10_1006_3	d10_1007_3	10	0.332082	0.814996	0.131113	0.120701	0.141524
d10_1007_1	d10_1007_3	10	0.358919	0.84655	0.00202	0.000866	0.003173
d10_1007_2	d10_1007_3	16	0.310639	0.736273	0.057505	0.0534	0.06161
d0_972_1	d10_1008_1	8	0.663171	0.796774	0.278174	0.266823	0.289525
d0_972_2	d10_1008_1	7	0.612064	0.815124	0.27789	0.266535	0.289245
d0_972_3	d10_1008_1	8	0.644409	0.815213	0.278334	0.266984	0.289684
d10_1006_1	d10_1008_1	7	0.606354	0.796513	0.787575	0.781937	0.793212
d10_1006_2	d10_1008_1	6	0.654999	0.864327	0.779127	0.771678	0.786577
d10_1006_3	d10_1008_1	7	0.447554	0.845699	0.56704	0.556427	0.577653
d10_1007_1	d10_1008_1	6	0.646667	0.864409	0.773681	0.766103	0.781259
d10_1007_2	d10_1008_1	9	0.715634	0.71802	0.905346	0.90284	0.907851
d10_1007_3	d10_1008_1	9	0.629758	0.797067	0.798334	0.793176	0.803493
d0_972_1	d10_1008_3	9	0.840998	0.771274	0.889729	0.886833	0.892625
d0_972_2	d10_1008_3	10	0.826738	0.814898	0.889645	0.886747	0.892542
d0_972_3	d10_1008_3	10	0.835421	0.802605	0.889745	0.88685	0.892641
d10_1006_1	d10_1008_3	9	0.24105	0.784268	0.103303	0.099465	0.107141
d10_1006_2	d10_1008_3	7	0.444665	0.83961	0.107322	0.102928	0.111715
d10_1006_3	d10_1008_3	5	0.487387	0.783919	0.276467	0.265714	0.28722
d10_1007_1	d10_1008_3	6	0.450851	0.827547	0.086841	0.082376	0.091306
d10_1007_2	d10_1008_3	13	0.260691	0.730198	0.079631	0.075324	0.083938
d10_1007_3	d10_1008_3	14	0.195805	0.821594	0.092254	0.08864	0.095868
d10_1008_1	d10_1008_3	6	0.607478	0.790326	0.800359	0.795734	0.804983
d0_972_1	d10_1009_1	9	0.853881	0.771608	0.812691	0.805916	0.819466
d0_972_2	d10_1009_1	9	0.832691	0.802801	0.812588	0.80581	0.819366
d0_972_3	d10_1009_1	9	0.846034	0.790124	0.812713	0.805939	0.819486
d10_1006_1	d10_1009_1	9	0.352045	0.78401	0.003537	0.00182	0.005253
d10_1006_2	d10_1009_1	7	0.065076	0.83985	0.005268	0.002845	0.007691
d10_1006_3	d10_1009_1	7	0.2003	0.808833	0.153895	0.141445	0.166344
d10_1007_1	d10_1009_1	8	0.053837	0.852593	0.006721	0.004112	0.00933
d10_1007_2	d10_1009_1	13	0.593318	0.730125	0.043405	0.038511	0.048299
d10_1007_3	d10_1009_1	12	0.399245	0.797132	0.001461	0.000371	0.00255
d10_1008_1	d10_1009_1	6	0.716783	0.790312	0.819665	0.812877	0.826453
d10_1008_3	d10_1009_1	8	0.491916	0.778128	0.093129	0.089487	0.096772
d0_972_1	d10_1009_2	9	0.852467	0.784057	0.913885	0.911492	0.916278
d0_972_2	d10_1009_2	11	0.838983	0.839703	0.913819	0.911425	0.916214
d0_972_3	d10_1009_2	11	0.847342	0.827373	0.91389	0.911497	0.916283
d10_1006_1	d10_1009_2	13	0.242668	0.845864	0.06357	0.058667	0.068474
d10_1006_2	d10_1009_2	7	0.431883	0.852171	0.069749	0.06316	0.076338
d10_1006_3	d10_1009_2	5	0.494911	0.796404	0.29867	0.286894	0.310446
d10_1007_1	d10_1009_2	5	0.444732	0.827616	0.074035	0.067292	0.080777
d10_1007_2	d10_1009_2	12	0.169981	0.729959	0.00527	0.004876	0.005663
d10_1007_3	d10_1009_2	11	0.193644	0.797215	0.054902	0.050573	0.059231
d10_1008_1	d10_1009_2	7	0.781999	0.815128	0.913839	0.911091	0.916587
d10_1008_3	d10_1009_2	10	0.199987	0.815022	0.115344	0.11069	0.119999
d10_1009_1	d10_1009_2	9	0.474247	0.802757	0.039494	0.034447	0.044541
d0_972_1	d10_1009_4	6	0.887882	0.740495	0.936307	0.934296	0.938318
d0_972_2	d10_1009_4	8	0.8773	0.796147	0.936247	0.934234	0.93826
d0_972_3	d10_1009_4	8	0.883772	0.78372	0.936309	0.934298	0.93832
d10_1006_1	d10_1009_4	9	0.264371	0.790111	0.090165	0.084658	0.095673
d10_1006_2	d10_1009_4	6	0.435133	0.833471	0.097172	0.089765	0.104579
d10_1006_3	d10_1009_4	5	0.529891	0.790246	0.338196	0.326488	0.349904
d10_1007_1	d10_1009_4	7	0.440784	0.845948	0.10251	0.094963	0.110056
d10_1007_2	d10_1009_4	11	0.189733	0.711419	0.009004	0.008095	0.009913
d10_1007_3	d10_1009_4	11	0.218541	0.790522	0.080427	0.075504	0.085351
d10_1008_1	d10_1009_4	3	0.830565	0.759223	0.934239	0.931851	0.936626
d10_1008_3	d10_1009_4	11	0.217119	0.821042	0.133877	0.128885	0.138869
d10_1009_1	d10_1009_4	8	0.456543	0.784287	0.062002	0.055954	0.068051
d10_1009_2	d10_1009_4	9	0.024281	0.808819	0.002882	0.002138	0.003627
d0_972_1	d10_1010_2	5	0.88696	0.746871	0.881289	0.876876	0.885702
d0_972_2	d10_1010_2	7	0.871975	0.802646	0.881202	0.876786	0.885617
d0_972_3	d10_1010_2	5	0.881393	0.765444	0.881306	0.876894	0.885718
d10_1006_1	d10_1010_2	8	0.339025	0.796065	0.077838	0.073427	0.082248
d10_1006_2	d10_1010_2	6	0.192664	0.851952	0.081754	0.076817	0.08669
d10_1006_3	d10_1010_2	4	0.342411	0.796175	0.25364	0.24185	0.265429
d10_1007_1	d10_1010_2	8	0.179409	0.876804	0.063787	0.058995	0.068578
d10_1007_2	d10_1010_2	7	0.492294	0.680658	0.060809	0.05564	0.065977
d10_1007_3	d10_1010_2	12	0.373664	0.82147	0.067402	0.063295	0.071509
d10_1008_1	d10_1010_2	6	0.600078	0.814956	0.8063	0.800216	0.812384
d10_1008_3	d10_1010_2	8	0.367116	0.802563	0.002726	0.001673	0.003779
d10_1009_1	d10_1010_2	10	0.18373	0.827338	0.067595	0.063411	0.071778
d10_1009_2	d10_1010_2	8	0.452765	0.814975	0.091231	0.085406	0.097055
d10_1009_4	d10_1010_2	7	0.436335	0.79626	0.110492	0.10411	0.116875
d0_972_1	d10_1010_3	9	0.843805	0.747122	0.889925	0.887014	0.892835
d0_972_2	d10_1010_3	12	0.829418	0.81556	0.88984	0.886928	0.892753
d0_972_3	d10_1010_3	9	0.838381	0.765828	0.889942	0.887033	0.892852
d10_1006_1	d10_1010_3	10	0.24233	0.771786	0.134393	0.129917	0.138869
d10_1006_2	d10_1010_3	9	0.442312	0.84016	0.138055	0.133231	0.14288
d10_1006_3	d10_1010_3	8	0.489659	0.796737	0.294722	0.284337	0.305106
d10_1007_1	d10_1010_3	8	0.442434	0.828097	0.114217	0.10928	0.119153
d10_1007_2	d10_1010_3	11	0.283248	0.680568	0.111189	0.106066	0.116312
d10_1007_3	d10_1010_3	14	0.18933	0.797335	0.122828	0.118468	0.127187
d10_1008_1	d10_1010_3	9	0.610395	0.803109	0.781712	0.776672	0.786752
d10_1008_3	d10_1010_3	12	0.041168	0.802792	0.003951	0.002695	0.005208
d10_1009_1	d10_1010_3	11	0.483943	0.790966	0.125551	0.121126	0.129976
d10_1009_2	d10_1010_3	11	0.221131	0.803066	0.151915	0.146519	0.15731
d10_1009_4	d10_1010_3	8	0.24253	0.759659	0.170915	0.16527	0.176561
d10_1010_2	d10_1010_3	11	0.358875	0.815484	0.011522	0.009008	0.014035
d0_972_1	d10_1010_4	8	0.83259	0.790284	0.875958	0.87257	0.879345
d0_972_2	d10_1010_4	9	0.815886	0.833394	0.87587	0.87248	0.87926
d0_972_3	d10_1010_4	8	0.826251	0.808642	0.875974	0.872587	0.879361
d10_1006_1	d10_1010_4	7	0.166847	0.790163	0.048781	0.045821	0.051741
d10_1006_2	d10_1010_4	6	0.368174	0.858118	0.052833	0.048977	0.05669
d10_1006_3	d10_1010_4	4	0.428021	0.802499	0.23403	0.222612	0.245448
d10_1007_1	d10_1010_4	7	0.3682	0.870779	0.040102	0.036196	0.044008
d10_1007_2	d10_1010_4	9	0.268616	0.711925	0.034935	0.031859	0.03801
d10_1007_3	d10_1010_4	12	0.111575	0.828098	0.039449	0.036944	0.041954
d10_1008_1	d10_1010_4	7	0.571418	0.833477	0.824149	0.81972	0.828578
d10_1008_3	d10_1010_4	10	0.100704	0.833662	0.015677	0.013505	0.017849
d10_1009_1	d10_1010_4	7	0.413166	0.79654	0.037368	0.035008	0.039728
d10_1009_2	d10_1010_4	8	0.19296	0.821244	0.056537	0.053022	0.060052
d10_1009_4	d10_1010_4	9	0.216895	0.827369	0.075066	0.070984	0.079147
d10_1010_2	d10_1010_4	8	0.279243	0.833742	0.005812	0.004124	0.0075
d10_1010_3	d10_1010_4	10	0.090532	0.809469	0.033098	0.029743	0.036453
d0_972_1	d10_1015_1	7	0.767138	0.703952	0.746314	0.739445	0.753183
d0_972_2	d10_1015_1	8	0.737732	0.747576	0.74618	0.739307	0.753053
